county,pop2018
Los Angeles,10105500
San Diego,3343360
Orange,3185970
Riverside,2450760
San Bernardino,2171600
Santa Clara,1937570
Alameda,1666750
Sacramento,1540980
Contra Costa,1150220
Fresno,994400
Kern,896764
San Francisco,883305
Ventura,850967
San Mateo,769545
San Joaquin,752660
Stanislaus,549815
Sonoma,499942
Tulare,465861
Solano,446610
Santa Barbara,446527
Monterey,435594
Placer,393149
San Luis Obispo,284010
Merced,274765
Santa Cruz,274255
Marin,259666
Butte,231256
Yolo,220408
El Dorado,190678
Imperial,181827
Shasta,180040
Madera,157672
Kings,151366
Napa,139417
Humboldt,136373
Nevada,99696
Sutter,96807
Mendocino,87606
Yuba,78041
Lake,64382
Tehama,63916
San Benito,61537
Tuolumne,54539
Calaveras,45602
Siskiyou,43724
Amador,39383
Lassen,30802
Glenn,28047
Del Norte,27828
Colusa,21627
Plumas,18804
Inyo,17987
Mariposa,17471
Mono,14250
Trinity,12535
Modoc,8777
Sierra,2987
Alpine,1101