county_raw,year,state,total_homeless_count,shared_obs,homeless_count_calc,county
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2016,CA,632,4,158,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2016,CA,632,4,158,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2016,CA,632,4,158,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2016,CA,632,4,158,mariposa
Bakersfield/Kern County CoC,2013,CA,1152,1,1152,kern
Bakersfield/Kern County CoC,2016,CA,1067,1,1067,kern
Bakersfield/Kern County CoC,2017,CA,810,1,810,kern
Bakersfield/Kern County CoC,2011,CA,1439,1,1439,kern
Bakersfield/Kern County CoC,2009,CA,1499,1,1499,kern
Bakersfield/Kern County CoC,2014,CA,992,1,992,kern
Bakersfield/Kern County CoC,2015,CA,954,1,954,kern
Bakersfield/Kern County CoC,2008,CA,1537,1,1537,kern
Bakersfield/Kern County CoC,2007,CA,1537,1,1537,kern
Bakersfield/Kern County CoC,2010,CA,1499,1,1499,kern
Bakersfield/Kern County CoC,2012,CA,1352,1,1352,kern
Chico/Paradise/Butte County CoC,2010,CA,742,1,742,butte
Chico/Paradise/Butte County CoC,2008,CA,592,1,592,butte
Chico/Paradise/Butte County CoC,2009,CA,689,1,689,butte
Chico/Paradise/Butte County CoC,2011,CA,897,1,897,butte
Chico/Paradise/Butte County CoC,2015,CA,571,1,571,butte
Chico/Paradise/Butte County CoC,2007,CA,1478,1,1478,butte
Chico/Paradise/Butte County CoC,2012,CA,897,1,897,butte
Chico/Paradise/Butte County CoC,2017,CA,1195,1,1195,butte
Chico/Paradise/Butte County CoC,2014,CA,696,1,696,butte
Chico/Paradise/Butte County CoC,2016,CA,574,1,574,butte
Chico/Paradise/Butte County CoC,2013,CA,712,1,712,butte
"Colusa, Glenn, Trinity Counties CoC",2010,CA,197,3,66,glenn
"Colusa, Glenn, Trinity Counties CoC",2010,CA,197,3,66,colusa
"Colusa, Glenn, Trinity Counties CoC",2010,CA,197,3,66,trinity
"Colusa, Glenn, Trinity Counties CoC",2011,CA,322,3,107,glenn
"Colusa, Glenn, Trinity Counties CoC",2011,CA,322,3,107,colusa
"Colusa, Glenn, Trinity Counties CoC",2011,CA,322,3,107,trinity
"Colusa, Glenn, Trinity Counties CoC",2007,CA,155,3,52,glenn
"Colusa, Glenn, Trinity Counties CoC",2007,CA,155,3,52,colusa
"Colusa, Glenn, Trinity Counties CoC",2007,CA,155,3,52,trinity
"Colusa, Glenn, Trinity Counties CoC",2017,CA,176,3,59,glenn
"Colusa, Glenn, Trinity Counties CoC",2017,CA,176,3,59,colusa
"Colusa, Glenn, Trinity Counties CoC",2017,CA,176,3,59,trinity
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,glenn
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,colusa
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,trinity
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,glenn
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,colusa
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,trinity
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,glenn
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,colusa
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,trinity
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,glenn
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,colusa
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,trinity
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,glenn
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,colusa
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,trinity
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,glenn
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,colusa
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,trinity
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,glenn
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,colusa
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,trinity
Daly/San Mateo County CoC,2013,CA,1995,1,1995,san mateo
Daly/San Mateo County CoC,2007,CA,1798,1,1798,san mateo
Daly/San Mateo County CoC,2008,CA,1798,1,1798,san mateo
Daly/San Mateo County CoC,2014,CA,2024,1,2024,san mateo
Daly/San Mateo County CoC,2012,CA,1845,1,1845,san mateo
Daly/San Mateo County CoC,2017,CA,1253,1,1253,san mateo
Daly/San Mateo County CoC,2016,CA,1361,1,1361,san mateo
Daly/San Mateo County CoC,2015,CA,1483,1,1483,san mateo
Daly/San Mateo County CoC,2011,CA,1926,1,1926,san mateo
Daly/San Mateo County CoC,2009,CA,1567,1,1567,san mateo
Daly/San Mateo County CoC,2010,CA,1424,1,1424,san mateo
Davis/Woodland/Yolo County CoC,2010,CA,491,1,491,yolo
Davis/Woodland/Yolo County CoC,2009,CA,491,1,491,yolo
Davis/Woodland/Yolo County CoC,2013,CA,474,1,474,yolo
Davis/Woodland/Yolo County CoC,2011,CA,468,1,468,yolo
Davis/Woodland/Yolo County CoC,2007,CA,414,1,414,yolo
Davis/Woodland/Yolo County CoC,2008,CA,414,1,414,yolo
Davis/Woodland/Yolo County CoC,2014,CA,442,1,442,yolo
Davis/Woodland/Yolo County CoC,2012,CA,513,1,513,yolo
Davis/Woodland/Yolo County CoC,2015,CA,498,1,498,yolo
Davis/Woodland/Yolo County CoC,2016,CA,532,1,532,yolo
Davis/Woodland/Yolo County CoC,2017,CA,459,1,459,yolo
Del Norte County CoC,2010,CA,18,1,18,del norte
Del Norte County CoC,2011,CA,448,1,448,del norte
Del Norte County CoC,2012,CA,437,1,437,del norte
El Dorado County CoC,2013,CA,180,1,180,el dorado
El Dorado County CoC,2007,CA,107,1,107,el dorado
El Dorado County CoC,2012,CA,217,1,217,el dorado
El Dorado County CoC,2016,CA,269,1,269,el dorado
El Dorado County CoC,2008,CA,150,1,150,el dorado
El Dorado County CoC,2017,CA,602,1,602,el dorado
El Dorado County CoC,2010,CA,146,1,146,el dorado
El Dorado County CoC,2009,CA,146,1,146,el dorado
El Dorado County CoC,2014,CA,195,1,195,el dorado
El Dorado County CoC,2011,CA,170,1,170,el dorado
El Dorado County CoC,2015,CA,269,1,269,el dorado
Fresno/Madera County CoC,2014,CA,2592,1,2592,madera
Fresno/Madera County CoC,2007,CA,4247,1,4247,madera
Fresno/Madera County CoC,2010,CA,4288,1,4288,madera
Fresno/Madera County CoC,2008,CA,3507,1,3507,madera
Fresno/Madera County CoC,2016,CA,1883,1,1883,madera
Fresno/Madera County CoC,2017,CA,2016,1,2016,madera
Fresno/Madera County CoC,2009,CA,4345,1,4345,madera
Fresno/Madera County CoC,2015,CA,1722,1,1722,madera
Fresno/Madera County CoC,2011,CA,5135,1,5135,madera
Fresno/Madera County CoC,2013,CA,3131,1,3131,madera
Fresno/Madera County CoC,2012,CA,4492,1,4492,madera
Glendale CoC,NA,NA,NA,NA,NA,a city
Humboldt County CoC,2008,CA,907,1,907,humboldt
Humboldt County CoC,2011,CA,861,1,861,humboldt
Humboldt County CoC,2010,CA,1355,1,1355,humboldt
Humboldt County CoC,2015,CA,1180,1,1180,humboldt
Humboldt County CoC,2009,CA,1355,1,1355,humboldt
Humboldt County CoC,2013,CA,864,1,864,humboldt
Humboldt County CoC,2007,CA,907,1,907,humboldt
Humboldt County CoC,2014,CA,932,1,932,humboldt
Humboldt County CoC,2017,CA,759,1,759,humboldt
Humboldt County CoC,2012,CA,846,1,846,humboldt
Humboldt County CoC,2016,CA,1134,1,1134,humboldt
Imperial County CoC,2009,CA,505,1,505,imperial
Imperial County CoC,2015,CA,554,1,554,imperial
Imperial County CoC,2008,CA,393,1,393,imperial
Imperial County CoC,2011,CA,508,1,508,imperial
Imperial County CoC,2016,CA,380,1,380,imperial
Imperial County CoC,2007,CA,342,1,342,imperial
Imperial County CoC,2010,CA,505,1,505,imperial
Imperial County CoC,2013,CA,252,1,252,imperial
Imperial County CoC,2012,CA,239,1,239,imperial
Imperial County CoC,2017,CA,1154,1,1154,imperial
Imperial County CoC,2014,CA,298,1,298,imperial
"Inyo, Mono, Alpine Counties CoC",2017,CA,121,3,40,inyo
"Inyo, Mono, Alpine Counties CoC",2017,CA,121,3,40,mono
"Inyo, Mono, Alpine Counties CoC",2017,CA,121,3,40,alpine
"Inyo, Mono, Alpine Counties CoC",2015,CA,53,3,18,inyo
"Inyo, Mono, Alpine Counties CoC",2015,CA,53,3,18,mono
"Inyo, Mono, Alpine Counties CoC",2015,CA,53,3,18,alpine
"Inyo, Mono, Alpine Counties CoC",2016,CA,130,3,43,inyo
"Inyo, Mono, Alpine Counties CoC",2016,CA,130,3,43,mono
"Inyo, Mono, Alpine Counties CoC",2016,CA,130,3,43,alpine
Lake County CoC,2015,CA,315,1,315,lake
Lake County CoC,2016,CA,332,1,332,lake
Lake County CoC,2017,CA,401,1,401,lake
Long Beach CoC,NA,NA,NA,NA,NA,a city
Los Angeles,2007,CA,47862,1,47862,los angeles
Los Angeles,2017,CA,55188,1,55188,los angeles
Los Angeles,2013,CA,35524,1,35524,los angeles
Los Angeles,2012,CA,31553,1,31553,los angeles
Los Angeles,2011,CA,34622,1,34622,los angeles
Los Angeles,2015,CA,41174,1,41174,los angeles
Los Angeles,2016,CA,43854,1,43854,los angeles
Los Angeles,2008,CA,47862,1,47862,los angeles
Los Angeles,2014,CA,34393,1,34393,los angeles
Los Angeles,2009,CA,33243,1,33243,los angeles
Los Angeles,2010,CA,33243,1,33243,los angeles
Marin County CoC,2016,CA,1258,1,1258,marin
Marin County CoC,2012,CA,725,1,725,marin
Marin County CoC,2010,CA,1026,1,1026,marin
Marin County CoC,2009,CA,1026,1,1026,marin
Marin County CoC,2014,CA,679,1,679,marin
Marin County CoC,2008,CA,1002,1,1002,marin
Marin County CoC,2017,CA,1117,1,1117,marin
Marin County CoC,2007,CA,1002,1,1002,marin
Marin County CoC,2013,CA,676,1,676,marin
Marin County CoC,2011,CA,862,1,862,marin
Marin County CoC,2015,CA,1318,1,1318,marin
Mendocino County CoC,2009,CA,1202,1,1202,mendocino
Mendocino County CoC,2007,CA,1422,1,1422,mendocino
Mendocino County CoC,2016,CA,1242,1,1242,mendocino
Mendocino County CoC,2008,CA,1423,1,1423,mendocino
Mendocino County CoC,2015,CA,947,1,947,mendocino
Mendocino County CoC,2012,CA,1441,1,1441,mendocino
Mendocino County CoC,2013,CA,1392,1,1392,mendocino
Mendocino County CoC,2014,CA,1404,1,1404,mendocino
Mendocino County CoC,2017,CA,1238,1,1238,mendocino
Mendocino County CoC,2011,CA,1456,1,1456,mendocino
Mendocino County CoC,2010,CA,1202,1,1202,mendocino
Merced,2008,CA,2455,1,2455,merced
Merced,2011,CA,486,1,486,merced
Merced,2010,CA,372,1,372,merced
Merced,2016,CA,516,1,516,merced
Merced,2012,CA,502,1,502,merced
Merced,2007,CA,2641,1,2641,merced
Merced,2017,CA,454,1,454,merced
Merced,2009,CA,372,1,372,merced
Merced,2013,CA,372,1,372,merced
Merced,2015,CA,898,1,898,merced
Merced,2014,CA,768,1,768,merced
Napa,2015,CA,293,1,293,napa
Napa,2008,CA,365,1,365,napa
Napa,2016,CA,317,1,317,napa
Napa,2009,CA,314,1,314,napa
Napa,2012,CA,248,1,248,napa
Napa,2011,CA,230,1,230,napa
Napa,2017,CA,315,1,315,napa
Napa,2014,CA,285,1,285,napa
Napa,2007,CA,365,1,365,napa
Napa,2013,CA,245,1,245,napa
Napa,2010,CA,314,1,314,napa
Oakland/Alameda County CoC,2009,CA,4341,1,4341,alameda
Oakland/Alameda County CoC,2014,CA,4272,1,4272,alameda
Oakland/Alameda County CoC,2007,CA,4838,1,4838,alameda
Oakland/Alameda County CoC,2011,CA,4178,1,4178,alameda
Oakland/Alameda County CoC,2008,CA,4838,1,4838,alameda
Oakland/Alameda County CoC,2013,CA,4264,1,4264,alameda
Oakland/Alameda County CoC,2010,CA,4341,1,4341,alameda
Oakland/Alameda County CoC,2012,CA,4257,1,4257,alameda
Oakland/Alameda County CoC,2017,CA,5629,1,5629,alameda
Oakland/Alameda County CoC,2016,CA,4145,1,4145,alameda
Oakland/Alameda County CoC,2015,CA,4040,1,4040,alameda
Oxnard/San Buenaventura/Ventura County CoC,2009,CA,2193,1,2193,ventura
Oxnard/San Buenaventura/Ventura County CoC,2016,CA,1271,1,1271,ventura
Oxnard/San Buenaventura/Ventura County CoC,2013,CA,1674,1,1674,ventura
Oxnard/San Buenaventura/Ventura County CoC,2008,CA,1961,1,1961,ventura
Oxnard/San Buenaventura/Ventura County CoC,2014,CA,1428,1,1428,ventura
Oxnard/San Buenaventura/Ventura County CoC,2010,CA,1815,1,1815,ventura
Oxnard/San Buenaventura/Ventura County CoC,2011,CA,1810,1,1810,ventura
Oxnard/San Buenaventura/Ventura County CoC,2007,CA,1961,1,1961,ventura
Oxnard/San Buenaventura/Ventura County CoC,2015,CA,1417,1,1417,ventura
Oxnard/San Buenaventura/Ventura County CoC,2012,CA,1926,1,1926,ventura
Oxnard/San Buenaventura/Ventura County CoC,2017,CA,1152,1,1152,ventura
Pasadena CoC,NA,NA,NA,NA,NA,a city
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2016,CA,1272,7,182,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,CA,630,7,90,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2008,CA,263,7,38,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2017,CA,934,7,133,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2011,CA,527,7,75,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2010,CA,336,7,48,siskiyou
