city,county
adelanto,san bernardino
agoura hills,los angeles
alameda,alameda
albany,alameda
alhambra,los angeles
aliso viejo,orange
alturas,modoc
amador city,amador
american canyon,napa
anaheim,orange
anderson,shasta
angels camp,calaveras
antioch,contra costa
apple valley,san bernardino
arcadia,los angeles
arcata,humboldt
arroyo grande,san luis obispo
artesia,los angeles
arvin,kern
atascadero,san luis obispo
atherton,san mateo
atwater,merced
auburn,placer
avalon,los angeles
avenal,kings
azusa,los angeles
bakersfield,kern
baldwin park,los angeles
banning,riverside
barstow,san bernardino
beaumont,riverside
bell,los angeles
bell gardens,los angeles
bellflower,los angeles
belmont,san mateo
belvedere,marin
benicia,solano
berkeley,alameda
beverly hills,los angeles
big bear lake,san bernardino
biggs,butte
bishop,inyo
blue lake,humboldt
blythe,riverside
bradbury,los angeles
brawley,imperial
brea,orange
brentwood,contra costa
brisbane,san mateo
buellton,santa barbara
buena park,orange
burbank,los angeles
burlingame,san mateo
calabasas,los angeles
calexico,imperial
california city,kern
calimesa,riverside
calipatria,imperial
calistoga,napa
camarillo,ventura
campbell,santa clara
canyon lake,riverside
capitola,santa cruz
carlsbad,san diego
carmel-by-the-sea,monterey
carpinteria,santa barbara
carson,los angeles
cathedral city,riverside
ceres,stanislaus
cerritos,los angeles
chico,butte
chino,san bernardino
chino hills,san bernardino
chowchilla,madera
chula vista,san diego
citrus heights,sacramento
claremont,los angeles
clayton,contra costa
clearlake,lake
cloverdale,sonoma
clovis,fresno
coachella,riverside
coalinga,fresno
colfax,placer
colma,san mateo
colton,san bernardino
colusa,colusa
commerce,los angeles
compton,los angeles
concord,contra costa
corcoran,kings
corning,tehama
corona,riverside
coronado,san diego
corte madera,marin
costa mesa,orange
cotati,sonoma
covina,los angeles
crescent city,del norte
cudahy,los angeles
culver city,los angeles
cupertino,santa clara
cypress,orange
daly city,san mateo
dana point,orange
danville,contra costa
davis,yolo
del mar,san diego
del rey oaks,monterey
delano,kern
desert hot springs,riverside
diamond bar,los angeles
dinuba,tulare
dixon,solano
dorris,siskiyou
dos palos,merced
downey,los angeles
duarte,los angeles
dublin,alameda
dunsmuir,siskiyou
east palo alto,san mateo
eastvale,riverside
el cajon,san diego
el centro,imperial
el cerrito,contra costa
el monte,los angeles
el segundo,los angeles
elk grove,sacramento
emeryville,alameda
encinitas,san diego
escalon,san joaquin
escondido,san diego
etna,siskiyou
eureka,humboldt
exeter,tulare
fairfax,marin
fairfield,solano
farmersville,tulare
ferndale,humboldt
fillmore,ventura
firebaugh,fresno
folsom,sacramento
fontana,san bernardino
fort bragg,mendocino
fort jones,siskiyou
fortuna,humboldt
foster city,san mateo
fountain valley,orange
fowler,fresno
fremont,alameda
fresno,fresno
fullerton,orange
galt,sacramento
garden grove,orange
gardena,los angeles
gilroy,santa clara
glendale,los angeles
glendora,los angeles
goleta,santa barbara
gonzales,monterey
grand terrace,san bernardino
grass valley,nevada
greenfield,monterey
gridley,butte
grover beach,san luis obispo
guadalupe,santa barbara
gustine,merced
half moon bay,san mateo
hanford,kings
hawaiian gardens,los angeles
hawthorne,los angeles
hayward,alameda
healdsburg,sonoma
hemet,riverside
hercules,contra costa
hermosa beach,los angeles
hesperia,san bernardino
hidden hills,los angeles
highland,san bernardino
hillsborough,san mateo
hollister,san benito
holtville,imperial
hughson,stanislaus
huntington beach,orange
huntington park,los angeles
huron,fresno
imperial,imperial
imperial beach,san diego
indian wells,riverside
indio,riverside
industry,los angeles
inglewood,los angeles
ione,amador
irvine,orange
irwindale,los angeles
isleton,sacramento
jackson,amador
jurupa valley,riverside
kerman,fresno
king city,monterey
kingsburg,fresno
la canada flintridge,los angeles
la habra,orange
la habra heights,los angeles
la mesa,san diego
la mirada,los angeles
la palma,orange
la puente,los angeles
la quinta,riverside
la verne,los angeles
lafayette,contra costa
laguna beach,orange
laguna hills,orange
laguna niguel,orange
laguna woods,orange
lake elsinore,riverside
lake forest,orange
lakeport,lake
lakewood,los angeles
lancaster,los angeles
larkspur,marin
lathrop,san joaquin
lawndale,los angeles
lemon grove,san diego
lemoore,kings
lincoln,placer
lindsay,tulare
live oak,sutter
livermore,alameda
livingston,merced
lodi,san joaquin
loma linda,san bernardino
lomita,los angeles
lompoc,santa barbara
long beach,los angeles
loomis,placer
los alamitos,orange
los altos,santa clara
los altos hills,santa clara
los angeles,los angeles
los banos,merced
los gatos,santa clara
loyalton,sierra
lynwood,los angeles
madera,madera
malibu,los angeles
mammoth lakes,mono
manhattan beach,los angeles
manteca,san joaquin
maricopa,kern
marina,monterey
martinez,contra costa
marysville,yuba
maywood,los angeles
mcfarland,kern
mendota,fresno
menifee,riverside
menlo park,san mateo
merced,merced
mill valley,marin
millbrae,san mateo
milpitas,santa clara
mission viejo,orange
modesto,stanislaus
monrovia,los angeles
montague,siskiyou
montclair,san bernardino
monte sereno,santa clara
montebello,los angeles
monterey,monterey
monterey park,los angeles
moorpark,ventura
moraga,contra costa
moreno valley,riverside
morgan hill,santa clara
morro bay,san luis obispo
mount shasta,siskiyou
mountain view,santa clara
murrieta,riverside
napa,napa
national city,san diego
needles,san bernardino
nevada city,nevada
newark,alameda
newman,stanislaus
newport beach,orange
norco,riverside
norwalk,los angeles
novato,marin
oakdale,stanislaus
oakland,alameda
oakley,contra costa
oceanside,san diego
ojai,ventura
ontario,san bernardino
orange,orange
orange cove,fresno
orinda,contra costa
orland,glenn
oroville,butte
oxnard,ventura
pacific grove,monterey
pacifica,san mateo
palm desert,riverside
palm springs,riverside
palmdale,los angeles
palo alto,santa clara
palos verdes estates,los angeles
paradise,butte
paramount,los angeles
parlier,fresno
pasadena,los angeles
paso robles,san luis obispo
patterson,stanislaus
perris,riverside
petaluma,sonoma
pico rivera,los angeles
piedmont,alameda
pinole,contra costa
pismo beach,san luis obispo
pittsburg,contra costa
placentia,orange
placerville,el dorado
pleasant hill,contra costa
pleasanton,alameda
plymouth,amador
point arena,mendocino
pomona,los angeles
port hueneme,ventura
porterville,tulare
portola,plumas
portola valley,san mateo
poway,san diego
rancho cordova,sacramento
rancho cucamonga,san bernardino
rancho mirage,riverside
rancho palos verdes,los angeles
rancho santa margarita,orange
red bluff,tehama
redding,shasta
redlands,san bernardino
redondo beach,los angeles
redwood city,san mateo
reedley,fresno
rialto,san bernardino
richmond,contra costa
ridgecrest,kern
rio dell,humboldt
rio vista,solano
ripon,san joaquin
riverbank,stanislaus
riverside,riverside
rocklin,placer
rohnert park,sonoma
rolling hills,los angeles
rolling hills estates,los angeles
rosemead,los angeles
roseville,placer
ross,marin
sacramento,sacramento
st. helena,napa
salinas,monterey
san anselmo,marin
san bernardino,san bernardino
san bruno,san mateo
san carlos,san mateo
san clemente,orange
san diego,san diego
san dimas,los angeles
san fernando,los angeles
san francisco,san francisco
san gabriel,los angeles
san jacinto,riverside
san joaquin,fresno
san jose,santa clara
san juan bautista,san benito
san juan capistrano,orange
san leandro,alameda
san luis obispo,san luis obispo
san marcos,san diego
san marino,los angeles
san mateo,san mateo
san pablo,contra costa
san rafael,marin
san ramon,contra costa
sand city,monterey
sanger,fresno
santa ana,orange
santa barbara,santa barbara
santa clara,santa clara
santa clarita,los angeles
santa cruz,santa cruz
santa fe springs,los angeles
santa maria,santa barbara
santa monica,los angeles
santa paula,ventura
santa rosa,sonoma
santee,san diego
saratoga,santa clara
sausalito,marin
scotts valley,santa cruz
seal beach,orange
seaside,monterey
sebastopol,sonoma
selma,fresno
shafter,kern
shasta lake,shasta
sierra madre,los angeles
signal hill,los angeles
simi valley,ventura
solana beach,san diego
soledad,monterey
solvang,santa barbara
sonoma,sonoma
sonora,tuolumne
south el monte,los angeles
south gate,los angeles
south lake tahoe,el dorado
south pasadena,los angeles
south san francisco,san mateo
stanton,orange
stockton,san joaquin
suisun city,solano
sunnyvale,santa clara
susanville,lassen
sutter creek,amador
taft,kern
tehachapi,kern
tehama,tehama
temecula,riverside
temple city,los angeles
thousand oaks,ventura
tiburon,marin
torrance,los angeles
tracy,san joaquin
trinidad,humboldt
truckee,nevada
tulare,tulare
tulelake,siskiyou
turlock,stanislaus
tustin,orange
twentynine palms,san bernardino
ukiah,mendocino
union city,alameda
upland,san bernardino
vacaville,solano
vallejo,solano
ventura,ventura
vernon,los angeles
victorville,san bernardino
villa park,orange
visalia,tulare
vista,san diego
walnut,los angeles
walnut creek,contra costa
wasco,kern
waterford,stanislaus
watsonville,santa cruz
weed,siskiyou
west covina,los angeles
west hollywood,los angeles
west sacramento,yolo
westlake village,los angeles
westminster,orange
westmorland,imperial
wheatland,yuba
whittier,los angeles
wildomar,riverside
williams,colusa
willits,mendocino
willows,glenn
windsor,sonoma
winters,yolo
woodlake,tulare
woodland,yolo
woodside,san mateo
yorba linda,orange
yountville,napa
yreka,siskiyou
yuba city,sutter
yucaipa,san bernardino
yucca valley,san bernardino