county,fips
alameda,6001
alpine,6003
amador,6005
butte,6007
calaveras,6009
colusa,6011
contra costa,6013
del norte,6015
el dorado,6017
fresno,6019
glenn,6021
humboldt,6023
imperial,6025
inyo,6027
kern,6029
kings,6031
lake,6033
lassen,6035
los angeles,6037
madera,6039
marin,6041
mariposa,6043
mendocino,6045
merced,6047
modoc,6049
mono,6051
monterey,6053
napa,6055
nevada,6057
orange,6059
placer,6061
plumas,6063
riverside,6065
sacramento,6067
san benito,6069
san bernardino,6071
san diego,6073
san francisco,6075
san joaquin,6077
san luis obispo,6079
san mateo,6081
santa barbara,6083
santa clara,6085
santa cruz,6087
shasta,6089
sierra,6091
siskiyou,6093
solano,6095
sonoma,6097
stanislaus,6099
sutter,6101
tehama,6103
trinity,6105
tulare,6107
tuolumne,6109
ventura,6111
yolo,6113
yuba,6115